origin,dist,orig_latt,orig_long,dist_latt,dist_long,weight,distance,travel_type_id,duration
1259,1360,41.01586,28.955911,41.027418,28.983277,395,11673,1,39.5
1259,1397,41.01586,28.955911,41.0429,28.9348,70,2253,1,7
1259,1400,41.01586,28.955911,41.0096,28.9818,442,13071,1,44.2
1259,1401,41.01586,28.955911,41.0266,28.9844,399,11805,1,39.9
1261,1249,41.037647,28.996266,41.024561,28.979458,4,131,1,0.4
1261,1251,41.037647,28.996266,41.026726,28.981262,1,54,1,0.1
1261,1259,41.037647,28.996266,41.01586,28.955911,359,11562,1,35.9
1261,1261,41.037647,28.996266,41.037647,28.996266,0,0,1,0
1261,1263,41.037647,28.996266,41.031442,28.936176,430,13815,1,43
1261,1264,41.037647,28.996266,41.0115,28.9833,48,1436,1,4.8
1261,1268,41.037647,28.996266,41.0258,28.9744,337,10865,1,33.7
1261,1269,41.037647,28.996266,41.0426,29.0398,69,2067,1,6.9
1261,1271,41.037647,28.996266,41.01766,28.9688,3,98,1,0.3
1261,1272,41.037647,28.996266,41.0161,28.9642,340,10951,1,34
1261,1273,41.037647,28.996266,41.007915,28.979345,50,1509,1,5
1261,1275,41.037647,28.996266,41.0168,28.9719,11,346,1,1.1
1261,1276,41.037647,28.996266,41.0117,28.9813,43,1306,1,4.3
1261,1280,41.037647,28.996266,41.0085,28.9801,50,1503,1,5
1261,1284,41.037647,28.996266,41.0053,28.9768,53,1582,1,5.3
1261,1286,41.037647,28.996266,41.037002,28.985092,337,10847,1,33.7
1261,1291,41.037647,28.996266,41.0492,29.0111,3,116,1,0.3
1261,1292,41.037647,28.996266,41.0848,29.0567,14,480,1,1.4
1261,1293,41.037647,28.996266,41.0292,28.9611,377,12113,1,37.7
1261,1294,41.037647,28.996266,40.9735,28.7844,15200,468582,1,1502.7
1261,1295,41.037647,28.996266,41.01903,28.95036,380,12207,1,38
1261,1296,41.037647,28.996266,41.0047,28.97222,46,1371,1,4.6
1261,1297,41.037647,28.996266,41.0127,28.96448,8,265,1,0.8
1261,1298,41.037647,28.996266,40.9643,28.7995,15203,468680,1,1503
1261,1299,41.037647,28.996266,41.0085,28.98108,52,1559,1,5.2
1261,1319,41.037647,28.996266,41.0211,29.0041,61,1822,1,6.1
1261,1320,41.037647,28.996266,41.0379,29.9553,2987,67340,1,295.9
1261,1326,41.037647,28.996266,41.0083,28.9778,46,1389,1,4.6
1261,1328,41.037647,28.996266,40.8766,29.0906,327,10049,1,32.7
1261,1329,41.037647,28.996266,41.0793,29.06509,15,455,1,1.5
1261,1332,41.037647,28.996266,41.1197,29.0254,425,13647,1,42.5
1261,1334,41.037647,28.996266,41.0312,28.9391,430,13815,1,43
1261,1336,41.037647,28.996266,41.0042,28.9773,57,1702,1,5.7
1261,1338,41.037647,28.996266,41.0422,28.9485,430,13815,1,43
1261,1339,41.037647,28.996266,41.0479,28.9337,430,13815,1,43
1261,1341,41.037647,28.996266,41.0311,28.9391,430,13815,1,43
1261,1343,41.037647,28.996266,41.0062,28.9747,46,1387,1,4.6
1261,1346,41.037647,28.996266,41.026455,28.980856,1,53,1,0.1
1261,1350,41.037647,28.996266,41.0391,29.0004,3,114,1,0.3
1261,1360,41.037647,28.996266,41.027418,28.983277,3,111,1,0.3
1261,1397,41.037647,28.996266,41.0429,28.9348,430,13815,1,43
1261,1400,41.037647,28.996266,41.0096,28.9818,50,1509,1,5
1261,1401,41.037647,28.996266,41.0266,28.9844,8,243,1,0.8
1263,1249,41.031442,28.936176,41.024561,28.979458,472,13947,1,47.2
1263,1251,41.031442,28.936176,41.026726,28.981262,470,13869,1,47
1263,1259,41.031442,28.936176,41.01586,28.955911,76,2253,1,7.6
1263,1261,41.031442,28.936176,41.037647,28.996266,468,13815,1,46.8
1263,1263,41.031442,28.936176,41.031442,28.936176,0,0,1,0
1263,1264,41.031442,28.936176,41.0115,28.9833,516,15252,1,51.6
1263,1268,41.031442,28.936176,41.0258,28.9744,100,2950,1,10
1263,1269,41.031442,28.936176,41.0426,29.0398,537,15882,1,53.7
1263,1271,41.031442,28.936176,41.01766,28.9688,471,13914,1,47.1
1263,1272,41.031442,28.936176,41.0161,28.9642,97,2864,1,9.7
1263,1273,41.031442,28.936176,41.007915,28.979345,519,15325,1,51.9
1263,1275,41.031442,28.936176,41.0168,28.9719,480,14162,1,48
1263,1276,41.031442,28.936176,41.0117,28.9813,512,15121,1,51.2
1263,1280,41.031442,28.936176,41.0085,28.9801,518,15319,1,51.8
1263,1284,41.031442,28.936176,41.0053,28.9768,521,15397,1,52.1
1263,1286,41.031442,28.936176,41.037002,28.985092,100,2967,1,10
1263,1291,41.031442,28.936176,41.0492,29.0111,464,13699,1,46.4
1263,1292,41.031442,28.936176,41.0848,29.0567,452,13335,1,45.2
1263,1293,41.031442,28.936176,41.0292,28.9611,57,1702,1,5.7
1263,1294,41.031442,28.936176,40.9735,28.7844,15668,482398,1,1549.6
1263,1295,41.031442,28.936176,41.01903,28.95036,54,1608,1,5.4
1263,1296,41.031442,28.936176,41.0047,28.97222,514,15187,1,51.4
1263,1297,41.031442,28.936176,41.0127,28.96448,477,14081,1,47.7
1263,1298,41.031442,28.936176,40.9643,28.7995,15671,482496,1,1549.8
1263,1299,41.031442,28.936176,41.0085,28.98108,520,15375,1,52
1263,1319,41.031442,28.936176,41.0211,29.0041,529,15638,1,52.9
1263,1320,41.031442,28.936176,41.0379,29.9553,3455,81155,1,342.7
1263,1326,41.031442,28.936176,41.0083,28.9778,515,15205,1,51.5
1263,1328,41.031442,28.936176,40.8766,29.0906,795,23865,1,79.5
